gene_id	colors
ENSG00000048649.13	yellow
ENSG00000048707.15	yellow
ENSG00000048740.18	red
ENSG00000048828.17	pink
ENSG00000048991.16	pink
ENSG00000049089.15	brown
ENSG00000049130.16	salmon
ENSG00000049167.15	yellow
ENSG00000049192.15	turquoise
ENSG00000049239.13	grey
ENSG00000049245.13	salmon
ENSG00000049246.14	turquoise
ENSG00000049247.14	red
ENSG00000049249.9	red
ENSG00000049283.18	purple
ENSG00000049323.16	turquoise
ENSG00000049449.10	green
ENSG00000049540.18	turquoise
ENSG00000049541.11	pink
ENSG00000049618.24	yellow
ENSG00000049656.14	darkgreen
ENSG00000049759.19	brown
ENSG00000049768.16	red
ENSG00000049769.14	grey
ENSG00000049860.14	salmon
ENSG00000049883.15	yellow
ENSG00000050030.16	turquoise
ENSG00000050130.18	salmon
ENSG00000050165.18	turquoise
ENSG00000050327.15	greenyellow
ENSG00000050344.9	grey
ENSG00000050393.11	pink
ENSG00000050405.13	salmon
ENSG00000050426.16	grey
ENSG00000050438.17	turquoise
ENSG00000050555.19	turquoise
ENSG00000050628.20	turquoise
ENSG00000050730.16	red
ENSG00000050748.18	yellow
ENSG00000050767.17	turquoise
ENSG00000050820.17	lightgreen
ENSG00000051009.11	grey
ENSG00000051108.15	red
ENSG00000051128.19	greenyellow
ENSG00000051180.17	pink
ENSG00000051341.14	pink
ENSG00000051382.9	yellow
ENSG00000051523.11	lightgreen
ENSG00000051596.10	grey
ENSG00000051620.11	green
ENSG00000051825.15	yellow
ENSG00000052126.14	yellow
ENSG00000052344.16	purple
ENSG00000052723.12	pink
ENSG00000052749.14	pink
ENSG00000052795.13	yellow
ENSG00000052802.13	grey
ENSG00000052841.15	black
ENSG00000052850.8	grey
ENSG00000053108.17	brown
ENSG00000053254.16	yellow
ENSG00000053328.8	turquoise
ENSG00000053371.12	green
ENSG00000053372.5	green
ENSG00000053438.11	grey
ENSG00000053501.13	green
ENSG00000053524.12	grey
ENSG00000053702.15	turquoise
ENSG00000053747.17	magenta
ENSG00000053770.12	yellow
ENSG00000053900.11	blue
ENSG00000053918.18	midnightblue
ENSG00000054116.12	green
ENSG00000054118.15	yellow
ENSG00000054148.18	darkgreen
ENSG00000054179.12	grey
ENSG00000054219.11	grey
ENSG00000054267.22	yellow
ENSG00000054277.14	salmon
ENSG00000054282.16	grey
ENSG00000054356.14	red
ENSG00000054392.13	brown
ENSG00000054523.18	yellow
ENSG00000054598.9	grey
ENSG00000054611.14	grey
ENSG00000054654.19	salmon
ENSG00000054690.14	brown
ENSG00000054793.14	yellow
ENSG00000054803.4	turquoise
ENSG00000054938.16	turquoise
ENSG00000054965.11	magenta
ENSG00000054967.13	magenta
ENSG00000054983.17	grey
ENSG00000055044.11	pink
ENSG00000055070.17	lightgreen
ENSG00000055118.16	turquoise
ENSG00000055130.17	pink
ENSG00000055147.19	yellow
ENSG00000055163.20	grey
ENSG00000055208.19	salmon
ENSG00000055211.14	salmon
ENSG00000055332.18	grey
ENSG00000055483.19	grey
ENSG00000055609.19	yellow
ENSG00000055732.13	magenta
ENSG00000055813.6	yellow
ENSG00000055917.16	yellow
ENSG00000055950.16	green
ENSG00000055955.17	blue
ENSG00000055957.11	darkgrey
ENSG00000056050.7	green
ENSG00000056097.16	yellow
ENSG00000056277.16	yellow
ENSG00000056291.17	tan
ENSG00000056487.16	turquoise
ENSG00000056558.11	red
ENSG00000056586.16	pink
ENSG00000056736.10	brown
ENSG00000056972.20	greenyellow
ENSG00000056998.20	grey
ENSG00000057019.16	magenta
ENSG00000057149.16	greenyellow
ENSG00000057252.13	magenta
ENSG00000057294.15	grey
ENSG00000057468.7	grey
ENSG00000057593.14	turquoise
ENSG00000057608.17	pink
ENSG00000057657.17	magenta
ENSG00000057663.16	grey
ENSG00000057704.13	turquoise
ENSG00000057757.10	green
ENSG00000057935.14	grey
ENSG00000058056.9	magenta
ENSG00000058063.16	yellow
ENSG00000058085.15	magenta
ENSG00000058091.17	turquoise
ENSG00000058262.10	pink
ENSG00000058272.19	yellow
ENSG00000058335.16	red
ENSG00000058404.20	grey
ENSG00000058453.17	blue
ENSG00000058600.16	grey
ENSG00000058668.15	magenta
ENSG00000058673.17	black
ENSG00000058729.11	grey
ENSG00000058799.15	grey
ENSG00000058804.12	pink
ENSG00000058866.15	turquoise
ENSG00000059122.17	grey
ENSG00000059145.19	black
ENSG00000059377.18	red
ENSG00000059378.13	red
ENSG00000059573.9	grey
ENSG00000059588.10	black
ENSG00000059691.12	green
ENSG00000059728.11	yellow
ENSG00000059758.8	yellow
ENSG00000059769.20	grey
ENSG00000059804.16	turquoise
ENSG00000059915.17	turquoise
ENSG00000060069.17	green
ENSG00000060138.13	magenta
ENSG00000060140.9	purple
ENSG00000060237.18	yellow
ENSG00000060339.14	grey
ENSG00000060491.16	grey
ENSG00000060558.4	greenyellow
ENSG00000060566.14	grey
ENSG00000060642.11	grey
ENSG00000060656.20	purple
ENSG00000060688.13	pink
ENSG00000060709.15	turquoise
ENSG00000060718.22	red
ENSG00000060749.16	magenta
ENSG00000060762.19	grey
ENSG00000060971.19	brown
ENSG00000060982.15	turquoise
ENSG00000061273.18	grey
ENSG00000061337.15	turquoise
ENSG00000061455.11	turquoise
ENSG00000061656.10	blue
ENSG00000061676.15	yellow
ENSG00000061794.13	pink
ENSG00000061918.14	turquoise
ENSG00000061936.10	blue
ENSG00000061938.20	blue
ENSG00000061987.16	yellow
ENSG00000062038.14	greenyellow
ENSG00000062096.15	grey
ENSG00000062194.16	grey
ENSG00000062282.15	brown
ENSG00000062370.17	brown
ENSG00000062485.19	pink
ENSG00000062524.16	grey
ENSG00000062582.14	turquoise
ENSG00000062598.18	grey
ENSG00000062650.19	salmon
ENSG00000062716.13	greenyellow
ENSG00000062725.10	yellow
ENSG00000062822.15	pink
ENSG00000063015.20	grey
ENSG00000063046.18	yellow
ENSG00000063127.16	grey60
ENSG00000063169.11	blue
ENSG00000063176.16	brown
ENSG00000063177.13	darkred
ENSG00000063180.9	turquoise
ENSG00000063241.8	green
ENSG00000063244.13	grey
ENSG00000063245.15	green
ENSG00000063322.15	green
ENSG00000063438.19	grey
ENSG00000063587.15	grey
ENSG00000063601.17	yellow
ENSG00000063660.9	greenyellow
ENSG00000063761.16	grey
ENSG00000063854.13	green
ENSG00000063978.16	grey
ENSG00000064012.22	grey
ENSG00000064042.18	brown
ENSG00000064102.15	pink
ENSG00000064115.11	salmon
ENSG00000064195.7	grey
ENSG00000064199.7	grey
ENSG00000064201.16	red
ENSG00000064205.10	turquoise
ENSG00000064218.5	turquoise
ENSG00000064225.12	turquoise
ENSG00000064270.13	purple
ENSG00000064300.9	turquoise
ENSG00000064309.14	turquoise
ENSG00000064313.12	yellow
ENSG00000064393.16	magenta
ENSG00000064419.13	pink
ENSG00000064490.14	green
ENSG00000064545.15	green
ENSG00000064547.14	purple
ENSG00000064601.20	grey
ENSG00000064607.17	blue
ENSG00000064651.14	grey
ENSG00000064652.11	magenta
ENSG00000064655.19	purple
ENSG00000064666.15	magenta
ENSG00000064687.13	grey
ENSG00000064692.20	lightcyan
ENSG00000064703.12	pink
ENSG00000064726.10	salmon
ENSG00000064763.11	lightcyan
ENSG00000064787.13	brown
ENSG00000064835.11	grey
ENSG00000064886.14	turquoise
ENSG00000064932.16	grey
ENSG00000064933.18	grey
ENSG00000064961.19	green
ENSG00000064989.13	turquoise
ENSG00000064995.18	green
ENSG00000064999.15	brown
ENSG00000065000.19	grey
ENSG00000065029.15	blue
ENSG00000065054.14	turquoise
ENSG00000065057.9	green
ENSG00000065060.17	yellow
ENSG00000065135.12	pink
ENSG00000065150.21	yellow
ENSG00000065154.12	grey
ENSG00000065183.16	yellow
ENSG00000065243.20	yellow
ENSG00000065268.11	green
ENSG00000065308.5	turquoise
ENSG00000065320.9	turquoise
ENSG00000065325.13	turquoise
ENSG00000065328.17	pink
ENSG00000065357.20	purple
ENSG00000065361.16	purple
ENSG00000065371.17	magenta
ENSG00000065413.20	red
ENSG00000065427.15	pink
ENSG00000065457.10	grey
ENSG00000065485.20	pink
ENSG00000065491.8	grey
ENSG00000065518.8	green
ENSG00000065526.12	yellow
ENSG00000065534.19	turquoise
ENSG00000065548.18	pink
ENSG00000065559.15	grey
ENSG00000065600.13	pink
ENSG00000065609.14	brown
ENSG00000065613.15	yellow
ENSG00000065615.14	yellow
ENSG00000065618.21	greenyellow
ENSG00000065621.15	purple
ENSG00000065665.21	darkturquoise
ENSG00000065675.15	magenta
ENSG00000065717.15	brown
ENSG00000065802.12	turquoise
ENSG00000065809.13	grey
ENSG00000065833.9	salmon
ENSG00000065882.16	brown
ENSG00000065883.16	yellow
ENSG00000065911.13	pink
ENSG00000065923.10	grey
ENSG00000065970.9	salmon
ENSG00000065978.19	pink
ENSG00000065989.16	grey
ENSG00000066027.12	salmon
ENSG00000066032.18	turquoise
ENSG00000066044.15	pink
ENSG00000066056.14	turquoise
ENSG00000066084.13	yellow
ENSG00000066117.15	grey
ENSG00000066135.13	grey
ENSG00000066136.20	grey
ENSG00000066185.13	brown
ENSG00000066230.12	grey
ENSG00000066248.15	grey
ENSG00000066279.18	pink
ENSG00000066294.15	red
ENSG00000066322.15	green
ENSG00000066336.12	red
ENSG00000066379.15	green
ENSG00000066382.16	midnightblue
ENSG00000066405.13	grey
ENSG00000066422.5	yellow
ENSG00000066427.24	grey
ENSG00000066455.13	salmon
ENSG00000066468.23	brown
ENSG00000066557.6	yellow
ENSG00000066583.12	grey
ENSG00000066629.18	turquoise
ENSG00000066651.20	grey
